session_name,analyze,block_structure_munged,first_trial,in_kk_server,last_trial,n_forced,n_munged_trials,n_trials,n_missing_trials,include
CR17B_110727_001_behaving,True,False,2.0,True,612.0,94.0,0.0,611.0,0.0,True
CR17B_110728_001_behaving,True,False,2.0,True,558.0,86.0,0.0,557.0,0.0,True
CR17B_110731_001_behaving,True,False,2.0,True,834.0,38.0,1.0,833.0,0.0,True
CR17B_110801_001_behaving,True,False,4.0,True,838.0,89.0,0.0,835.0,0.0,True
CR17B_110803_001_behaving,True,False,181.0,True,1159.0,211.0,179.0,979.0,0.0,True
CR17B_110804_001_behaving,True,False,181.0,True,1105.0,178.0,177.0,923.0,2.0,True
CR17B_110805_001_behaving,True,False,2.0,True,595.0,92.0,2.0,594.0,0.0,True
CR17B_110806_001_behaving,True,False,2.0,True,800.0,88.0,0.0,799.0,0.0,True
CR17B_110808_001_behaving,True,False,3.0,True,961.0,214.0,0.0,959.0,0.0,True
YT6A_120201_behaving,True,False,157.0,True,960.0,34.0,0.0,804.0,0.0,True
YT6A_120202_behaving,True,False,2.0,True,466.0,0.0,1.0,465.0,0.0,True
CR20B_120531_001_behaving,True,False,3.0,True,354.0,38.0,0.0,352.0,0.0,True
CR20B_120602_001_behaving,True,False,3.0,True,938.0,6.0,0.0,936.0,0.0,True
CR20B_120603_001_behaving,True,False,2.0,True,480.0,3.0,0.0,479.0,0.0,True
CR20B_120604_001_behaving,True,False,19.0,True,764.0,0.0,0.0,746.0,0.0,True
CR20B_120605_001_behaving,True,False,181.0,True,696.0,0.0,179.0,516.0,0.0,True
CR20B_120606_004_behaving,True,False,2.0,True,570.0,0.0,1.0,569.0,0.0,True
CR20B_120609_001_behaving,True,False,2.0,True,609.0,0.0,1.0,608.0,0.0,True
CR20B_120612_001_behaving,True,False,2.0,True,482.0,0.0,1.0,481.0,0.0,True
CR20B_120613_001_behaving,True,False,2.0,True,390.0,0.0,1.0,389.0,0.0,True
CR21A_120502_003_behaving,True,False,2.0,True,923.0,0.0,1.0,922.0,0.0,True
CR21A_120503_004_behaving,True,False,2.0,True,747.0,9.0,1.0,746.0,0.0,True
CR21A_120504_004_behaving,True,False,6.0,True,703.0,36.0,0.0,698.0,0.0,True
CR21A_120505_003_behaving,True,False,2.0,True,918.0,0.0,1.0,917.0,0.0,True
CR21A_120506_003_behaving,True,False,2.0,True,725.0,0.0,1.0,724.0,0.0,True
CR21A_120507_003_behaving,True,False,2.0,True,867.0,3.0,1.0,866.0,0.0,True
CR21A_120508_001_behaving,True,False,2.0,True,689.0,0.0,1.0,688.0,0.0,True
CR21A_120509_001_behaving,True,False,2.0,True,658.0,0.0,0.0,657.0,0.0,True
CR21A_120510_004_behaving,True,False,2.0,True,723.0,0.0,0.0,722.0,0.0,True
CR12B_110421_001_behaving,True,False,2.0,True,480.0,137.0,1.0,479.0,0.0,True
CR12B_110422_001_behaving,True,False,2.0,True,482.0,83.0,0.0,481.0,0.0,True
CR12B_110423_001_behaving,True,False,2.0,True,387.0,76.0,0.0,386.0,0.0,True
CR12B_110426_001_behaving,True,False,2.0,True,944.0,66.0,1.0,943.0,0.0,True
CR12B_110428_001_behaving,True,False,2.0,True,380.0,52.0,1.0,379.0,0.0,True
CR12B_110429_001_behaving,True,False,2.0,True,621.0,60.0,1.0,620.0,0.0,True
CR12B_110503_001_behaving,True,False,2.0,True,368.0,16.0,1.0,367.0,0.0,True
CR12B_110504_001_behaving,True,False,2.0,True,449.0,59.0,1.0,448.0,0.0,True
CR12B_110505_001_behaving,True,False,2.0,True,808.0,62.0,0.0,807.0,0.0,True
CR12B_110507_001_behaving,True,False,2.0,True,499.0,33.0,0.0,498.0,0.0,True
CR12B_110508_001_behaving,True,False,321.0,True,942.0,69.0,320.0,620.0,2.0,True
CR12B_110511_001_behaving,True,False,2.0,True,536.0,34.0,1.0,535.0,0.0,True
CR12B_110514_001_behaving,True,False,2.0,True,636.0,47.0,1.0,635.0,0.0,True
CR12B_110517_001_behaving,True,False,2.0,True,379.0,0.0,1.0,378.0,0.0,True
CR24A_121008_001_behaving,True,False,2.0,True,367.0,49.0,1.0,366.0,0.0,True
CR24A_121019_001_behaving,True,False,181.0,True,1055.0,85.0,10.0,875.0,0.0,True
CR24A_121021_001_behaving,True,False,2.0,True,1433.0,125.0,1.0,1432.0,0.0,True
CR24A_121022_001_behaving,True,False,2.0,True,1220.0,0.0,1.0,1219.0,0.0,True
CR24A_121023_001_behaving,True,False,2.0,True,1077.0,0.0,1.0,1076.0,0.0,True
CR24A_121024_001_behaving,True,False,2.0,True,1451.0,0.0,1.0,1450.0,0.0,True
CR24A_121026_001_behaving,True,False,6.0,True,1039.0,0.0,0.0,1034.0,0.0,True
CR24A_121027_001_behaving,True,False,2.0,True,924.0,8.0,1.0,923.0,0.0,True
CR24A_121029_001_behaving,True,False,2.0,True,1113.0,0.0,1.0,1112.0,0.0,True
CR24A_121030_001_behaving,True,False,2.0,True,541.0,7.0,1.0,540.0,0.0,True
CR24A_121031_001_behaving,True,False,2.0,True,751.0,0.0,1.0,750.0,0.0,True
CR24A_121101_001_behaving,True,False,2.0,True,909.0,0.0,2.0,908.0,0.0,True
