ulabel,ratname,session_name,unum,group,sortscore,audresp,audresp_t1,audresp_t2,session_include,region,sortqual,feature_drift,FR_drift,include
CR12B_110421_001_behaving-302,CR12B,CR12B_110421_001_behaving,302,3,124.375,too brief,0.0,0.0,True,A1,great,pass,pass,True
CR12B_110421_001_behaving-304,CR12B,CR12B_110421_001_behaving,304,3,147.875,nothing,0.0,0.0,True,A1,great,pass,pass,True
CR12B_110421_001_behaving-305,CR12B,CR12B_110421_001_behaving,305,3,,,,,True,A1,poor,not_tested,not_tested,False
CR12B_110422_001_behaving-103,CR12B,CR12B_110422_001_behaving,103,1,220.625,nothing,0.0,0.0,True,A1,good,pass,insuff,False
CR12B_110422_001_behaving-104,CR12B,CR12B_110422_001_behaving,104,1,244.75,weak,0.0095000000000022046,0.015500000000003534,True,A1,great,pass,insuff,False
CR12B_110422_001_behaving-110,CR12B,CR12B_110422_001_behaving,110,1,,,,,True,A1,poor,not_tested,not_tested,False
CR12B_110422_001_behaving-112,CR12B,CR12B_110422_001_behaving,112,1,,,,,True,A1,poor,not_tested,not_tested,False
CR12B_110422_001_behaving-119,CR12B,CR12B_110422_001_behaving,119,1,254.75,good,0.012000000000002764,0.024500000000005559,True,A1,great,pass,pass,True
CR12B_110422_001_behaving-120,CR12B,CR12B_110422_001_behaving,120,1,257.5,weak,0.020000000000004684,0.023500000000005496,True,A1,great,pass,insuff,False
CR12B_110422_001_behaving-203,CR12B,CR12B_110422_001_behaving,203,2,163.875,good,0.011000000000002459,0.02200000000000497,True,A1,good,pass,pass,True
CR12B_110422_001_behaving-209,CR12B,CR12B_110422_001_behaving,209,2,196.125,nothing,0.0,0.0,True,A1,good,pass,insuff,False
CR12B_110422_001_behaving-251,CR12B,CR12B_110422_001_behaving,251,2,206.375,weak,0.0095000000000022046,0.020500000000004591,True,A1,good,pass,insuff,False
CR12B_110422_001_behaving-253,CR12B,CR12B_110422_001_behaving,253,2,212.25,nothing,0.0,0.0,True,A1,good,pass,pass,True
CR12B_110422_001_behaving-255,CR12B,CR12B_110422_001_behaving,255,2,268.25,too brief,0.0,0.0,True,A1,good,pass,pass,True
CR12B_110422_001_behaving-256,CR12B,CR12B_110422_001_behaving,256,2,240.125,too brief,0.0,0.0,True,A1,good,pass,pass,True
CR12B_110422_001_behaving-305,CR12B,CR12B_110422_001_behaving,305,3,,,,,True,A1,poor,not_tested,not_tested,False
CR12B_110422_001_behaving-314,CR12B,CR12B_110422_001_behaving,314,3,249.25,weak,0.0055000000000012686,0.012500000000002785,True,A1,great,pass,pass,True
CR12B_110422_001_behaving-321,CR12B,CR12B_110422_001_behaving,321,3,228.5,weak,0.017000000000003804,0.02600000000000572,True,A1,great,pass,pass,True
CR12B_110422_001_behaving-410,CR12B,CR12B_110422_001_behaving,410,4,145.875,too brief,0.0,0.0,True,A1,great,pass,pass,True
CR12B_110423_001_behaving-104,CR12B,CR12B_110423_001_behaving,104,1,217.75,nothing,0.0,0.0,True,A1,good,pass,pass,True
CR12B_110423_001_behaving-109,CR12B,CR12B_110423_001_behaving,109,1,255.0,too brief,0.0,0.0,True,A1,good,pass,insuff,False
CR12B_110423_001_behaving-111,CR12B,CR12B_110423_001_behaving,111,1,239.25,good,0.0085000000000019626,0.032500000000007703,True,A1,great,pass,pass,True
CR12B_110423_001_behaving-202,CR12B,CR12B_110423_001_behaving,202,2,299.25,weak,0.012500000000002785,0.022500000000004992,True,A1,great,pass,pass,True
